village_name,mandal_name,lat,lon,district_name,bore_well_count
07-KOTHAPALLI,Bapulapadu,16.72640068035176,80.9442974401005,Krishna,199
07-Karakampadu,Movva,16.255643321666664,80.94584355833332,Krishna,6
07-MERAKANAPALLI,Mopidevi,16.058971597206703,80.94880588011173,Krishna,179
07-MODDULAPARVA,Reddigudem,16.92327379075,80.76139754399999,Krishna,280
07-MULLAPADU,Penuganchiprolu,16.86107601176471,80.23688940602942,Krishna,68
07-NADAKUDURU,Challapalli,16.123008308550723,80.88348880536232,Krishna,69
07-RAMACHANDRA PUR,Avanigadda,16.03052529,80.95497923,Krishna,1
07-RATNALA GUDEM,Nuzvid,16.68231609,80.96988111,Krishna,1
07-T.G.PALEM,Jaggayyapeta,16.902984010588238,80.12008537588235,Krishna,17
08-CH.O.PALLI,Gannavaram,16.554118987333332,80.82473378177778,Krishna,45
08-CHINTALANERVA,Gampalagudem,17.006885463939394,80.47531475878787,Krishna,33
08-DALIPARRU,Ghantasala,16.148097717894736,80.97271447263158,Krishna,19
08-DOKIPARRU,Gudlavalleru,16.292721059999998,81.060101695,Krishna,2
08-DONDAPADU,Gudivada,16.46018675625,81.03875696291666,Krishna,24
08-DULIPUDIPALEM,Pamidimukkala,16.290270207473686,80.83300610326316,Krishna,95
08-EDULAGUDEM,Agiripalle,16.693540117281106,80.84413121345622,Krishna,217
08-EDURUBEDEM,Mylavaram,16.78022521597122,80.73763315330935,Krishna,139
08-ELAMARRU,Pedaparupudi,16.371992095564202,80.92444399284047,Krishna,257
08-ELUKAPADU,Unguturu,16.497824395454543,80.87660939272727,Krishna,11
08-ERUKAPDU,Tiruvuru,17.029665648888887,80.53932542244443,Krishna,45
08-G.B.PALEM,Jaggayyapeta,16.826995651666667,80.17547717000001,Krishna,12
08-GADDAMANUGU,G Konduru,16.683651263581396,80.55248894618605,Krishna,215
08-GOKARAJUPALLI,Veerullapadu,16.747663,80.371912334,Krishna,5
08-GOLLAPUDI,Vijayawada Rural,16.538747262857143,80.57541809571428,Krishna,14
08-GOPINENIPALEM,Vatsavai,16.93141445237288,80.16708961084746,Krishna,59
08-GULLAMUDI,Nandigama,16.784970773448276,80.35806444224137,Krishna,58
08-GURUVINDAPALLI,Thotlavalluru,16.286152611574803,80.82311577401575,Krishna,127
08-JANGAM GUDEM,Nuzvid,16.778868127586207,80.90320101921183,Krishna,203
08-JAYAPURAM,Chatrai,16.97094524131579,80.88764258039474,Krishna,76
08-K KALLU,Chandarlapadu,16.64728894074074,80.19387890074074,Krishna,54
08-K.S.N.PALEM,Kankipadu,16.414506526865672,80.71507197895522,Krishna,67
